model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 B Class,2017,15480,Automatic,23290,Diesel,20,68.9,2.1
 E Class,2016,16480,Automatic,48889,Diesel,125,58.9,2.1
 CLA Class,2017,20480,Automatic,31949,Diesel,150,58.9,2.1
 GLC Class,2016,25780,Automatic,34358,Diesel,125,56.5,2.1
 C Class,2017,21000,Automatic,25000,Hybrid,140,134.5,2
 GLA Class,2016,17800,Automatic,34092,Diesel,125,56.6,2.1
 B Class,2019,20700,Automatic,14931,Petrol,145,45.6,1.3
 C Class,2016,17890,Automatic,44184,Petrol,125,50.4,2
 C Class,2009,4200,Automatic,96000,Diesel,235,42.2,2.1
 E Class,2017,20998,Automatic,21352,Diesel,20,72.4,2
 GLA Class,2015,18998,Automatic,33114,Diesel,125,56.5,2.1
 C Class,2017,24998,Automatic,28234,Petrol,160,43.5,2
 CL Class,2015,17498,Manual,15557,Petrol,125,50.4,1.6
 C Class,2016,19498,Automatic,22803,Diesel,30,61.4,2.1
 C Class,2018,23498,Automatic,17093,Diesel,145,67.3,2.1
 E Class,2014,15998,Automatic,43125,Diesel,200,45.6,3
 S Class,2016,28498,Automatic,30135,Diesel,200,47.9,3
 CL Class,2015,16498,Manual,25920,Petrol,125,51.4,1.6
 GLC Class,2020,37998,Automatic,5538,Diesel,150,40.9,2
 C Class,2014,16995,Automatic,37600,Diesel,30,64.2,2.1
 A Class,2016,27995,Automatic,13000,Petrol,200,40.9,2
 S Class,2015,29995,Automatic,17700,Diesel,200,48.7,3
 GLC Class,2017,26995,Automatic,37950,Diesel,145,56.5,2.1
 C Class,2017,24995,Automatic,14000,Petrol,145,47.1,2
 GLE Class,2016,29995,Automatic,27700,Diesel,200,47.9,2.1
 A Class,2019,18995,Automatic,21400,Petrol,145,53.3,1.3
 B Class,2015,11995,Automatic,41500,Diesel,20,67.3,1.5
 G Class,2015,52995,Automatic,34400,Diesel,570,25.2,3
 E Class,2017,23995,Automatic,19300,Diesel,30,65.7,2
 E Class,2015,17698,Automatic,27622,Diesel,145,54.3,3
 CLS Class,2014,15998,Automatic,31815,Diesel,145,54.3,2.1
 E Class,2016,20298,Automatic,25273,Diesel,145,54.3,3
 C Class,2014,12998,Automatic,52712,Diesel,20,64.2,2.1
 A Class,2013,11998,Automatic,54060,Diesel,30,64.2,2.1
 C Class,2017,17998,Automatic,59858,Diesel,145,64.2,2.1
 GLA Class,2016,16998,Automatic,50543,Diesel,125,56.5,2.1
 S Class,2019,48998,Automatic,375,Diesel,145,52.3,3
 C Class,2019,28998,Manual,22,Petrol,145,48.7,1.6
 E Class,2019,46998,Automatic,3325,Petrol,145,32.5,3
 A Class,2017,17498,Automatic,16244,Diesel,145,74.3,1.5
 S Class,2016,26498,Automatic,36121,Diesel,200,47.9,3
 B Class,2013,8998,Automatic,46108,Diesel,30,64.2,1.8
 GLA Class,2016,19498,Automatic,27846,Diesel,125,56.5,2.1
 E Class,2017,20498,Automatic,20195,Diesel,20,72.4,2
 C Class,2018,22998,Automatic,18739,Diesel,150,60.1,2.1
 C Class,2016,12998,Manual,53453,Diesel,20,70.6,2.1
 C Class,2016,22998,Automatic,23090,Diesel,30,65.7,2.1
 S Class,2015,27998,Automatic,14158,Diesel,200,47.9,3
 S Class,2015,26498,Automatic,27343,Diesel,200,48.7,3
 V Class,2017,27998,Automatic,58590,Diesel,235,44.8,2.2
 E Class,2019,36998,Automatic,5211,Diesel,145,70.6,2
 GLC Class,2017,26998,Automatic,9172,Diesel,145,56.5,2.1
 E Class,2015,19498,Automatic,26999,Diesel,160,51.4,3
 C Class,2019,25498,Automatic,8150,Diesel,145,60.1,1.6
 E Class,2019,28998,Automatic,26100,Diesel,145,65.7,2
 C Class,2019,24998,Automatic,9344,Diesel,145,55.4,2
 GLA Class,2020,27998,Automatic,3930,Petrol,150,35.8,1.6
 GLC Class,2019,35998,Automatic,7540,Diesel,145,40.9,2
 GLC Class,2019,32998,Automatic,12831,Diesel,145,44.8,2
 GLE Class,2016,24998,Automatic,42913,Diesel,200,47.9,2.1
 C Class,2017,21498,Automatic,20981,Diesel,30,64.2,2.1
 E Class,2017,20998,Automatic,22930,Diesel,145,72.4,2
 S Class,2016,25498,Automatic,44072,Diesel,200,47.9,3
 B Class,2015,13498,Automatic,20789,Diesel,20,67.3,1.5
 A Class,2016,16998,Automatic,29160,Diesel,20,67.3,2.1
 SL CLASS,2019,32998,Automatic,2403,Petrol,145,47.1,2
 B Class,2019,21498,Manual,4653,Petrol,145,45.6,1.3
 E Class,2014,13998,Automatic,33404,Diesel,125,58.9,2.1
 C Class,2017,18998,Automatic,23760,Diesel,30,64.2,2.1
 C Class,2016,17998,Manual,26100,Diesel,20,68.9,2.1
 C Class,2019,28498,Automatic,4285,Diesel,145,61.4,2
 C Class,2016,18998,Automatic,28388,Diesel,30,64.2,1.6
 A Class,2019,19498,Automatic,14899,Diesel,145,68.9,1.5
 C Class,2017,20998,Automatic,16902,Diesel,145,60.1,2.1
 B Class,2019,20998,Automatic,10713,Petrol,145,45.6,1.3
 M Class,2015,21498,Automatic,43339,Diesel,200,39.2,2.1
 E Class,2017,19998,Automatic,46230,Diesel,145,67.3,2
 SL CLASS,2017,19498,Automatic,29114,Diesel,30,70.6,2.1
 E Class,2016,20498,Automatic,37915,Diesel,160,51.4,3
 SL CLASS,2017,22498,Automatic,11534,Diesel,145,70.6,2.1
 SL CLASS,2017,20998,Automatic,18739,Diesel,145,70.6,2.1
 E Class,2017,20998,Automatic,27671,Diesel,145,72.4,2
 A Class,2015,18998,Automatic,23247,Petrol,200,42.8,2
 C Class,2018,27498,Automatic,9255,Diesel,145,57.7,2
 C Class,2016,16998,Automatic,26973,Diesel,30,65.7,1.6
 E Class,2017,22998,Automatic,16910,Diesel,145,65.7,2
 S Class,2015,24498,Automatic,28191,Diesel,200,47.9,3
 C Class,2018,27498,Automatic,12491,Diesel,145,65.7,2.1
 A Class,2015,16998,Automatic,39587,Petrol,200,42.8,2
 GLA Class,2015,17998,Automatic,42942,Petrol,200,42.8,2
 GLC Class,2016,23498,Automatic,46259,Diesel,125,56.5,2.1
 A Class,2017,18298,Automatic,7919,Diesel,145,68.9,2.1
 A Class,2019,22998,Automatic,3770,Petrol,150,53.3,1.3
 C Class,2014,26998,Automatic,24175,Petrol,570,23.5,6.2
 V Class,2018,19998,Manual,14941,Diesel,145,46.3,2.1
 V Class,2018,19498,Manual,21525,Diesel,145,46.3,2.1
 C Class,2014,15998,Automatic,26216,Diesel,30,64.2,2.1
 C Class,2013,9298,Automatic,80485,Diesel,145,54.3,2.1
 CL Class,2014,17298,Automatic,33274,Diesel,30,62.8,2.1
 C Class,2018,20489,Automatic,16900,Diesel,145,61.4,2.1
 M Class,2013,15990,Automatic,51800,Diesel,200,44.8,2.1
 A Class,2013,9995,Automatic,47000,Diesel,20,68.9,1.8
 GL Class,2014,24498,Automatic,67833,Diesel,325,35.3,3
 V Class,2016,26490,Automatic,32494,Diesel,200,45.6,2.2
 A Class,2018,22990,Automatic,5491,Petrol,145,45.6,2
 A Class,2018,19995,Automatic,2348,Petrol,145,53.3,1.3
 GLA Class,2017,17850,Manual,18692,Petrol,145,48.7,1.6
 A Class,2016,15000,Manual,30761,Diesel,30,62.8,2.1
 C Class,2017,13800,Manual,34015,Diesel,145,70.6,2.1
 V Class,2018,20498,Manual,22011,Diesel,145,46.3,2.1
 C Class,2014,15498,Automatic,36243,Diesel,30,64.2,2.1
 A Class,2019,18995,Automatic,3150,Diesel,145,65.7,1.5
 C Class,2017,20995,Automatic,33000,Diesel,145,58.9,2.1
 C Class,2018,31995,Automatic,11300,Petrol,150,36.2,3
 A Class,2017,16995,Automatic,25800,Diesel,150,68.9,2.1
 CL Class,2015,17995,Automatic,41100,Diesel,20,67.3,2.1
 GLC Class,2016,28995,Automatic,31600,Diesel,145,56.5,2.1
 V Class,2018,35995,Automatic,7000,Diesel,145,45.6,2.2
 C Class,2017,23995,Automatic,32800,Diesel,30,65.7,2.1
 GLA Class,2015,16998,Automatic,42129,Diesel,125,56.5,2.1
 GLC Class,2016,21998,Automatic,49986,Diesel,125,56.5,2.1
 GLA Class,2017,30498,Automatic,20085,Petrol,145,38.2,2
 C Class,2019,27698,Automatic,14999,Diesel,145,55.4,2
 C Class,2016,27498,Automatic,37941,Petrol,260,35.8,3
 C Class,2019,32498,Automatic,11301,Diesel,145,61.4,2
 GLE Class,2019,54498,Automatic,6279,Diesel,145,32.8,3
 GL Class,2016,34998,Automatic,32726,Diesel,325,36.2,3
 GLC Class,2016,28998,Automatic,16742,Diesel,145,56.5,2.1
 C Class,2019,24498,Automatic,12629,Diesel,145,61.4,2.1
 SL CLASS,2017,20998,Automatic,13526,Petrol,145,47.9,2
 E Class,2015,19698,Automatic,23578,Diesel,150,54.3,3
 A Class,2018,23498,Automatic,5189,Petrol,150,53.3,1.3
 A Class,2019,21498,Automatic,6324,Diesel,145,65.7,1.5
 A Class,2019,21498,Automatic,5685,Diesel,145,65.7,1.5
 SL CLASS,2019,64998,Automatic,313,Petrol,145,31.4,4.7
 E Class,2015,19498,Automatic,17167,Diesel,145,54.3,3
 C Class,2015,12298,Automatic,68718,Petrol,125,53.3,2
 SL CLASS,2017,21998,Automatic,4657,Diesel,145,70.6,2.1
 GLE Class,2016,24998,Automatic,30121,Diesel,205,47.9,2.1
 GLC Class,2017,29998,Automatic,23326,Diesel,150,56.5,2.1
 E Class,2016,15635,Automatic,30132,Diesel,30,64.2,2.1
 C Class,2018,20685,Automatic,21929,Diesel,145,64.2,2.1
 E Class,2017,19498,Automatic,33037,Diesel,150,72.4,2
 GLS Class,2018,46998,Automatic,9182,Diesel,145,37.2,3
 C Class,2016,20498,Automatic,27968,Diesel,125,60.1,2.1
 GLE Class,2017,30298,Automatic,14786,Diesel,200,47.9,2.1
 E Class,2015,20298,Automatic,28056,Diesel,160,51.4,3
 GLC Class,2017,37998,Automatic,20418,Petrol,145,34,3
 GLE Class,2017,28998,Automatic,31322,Diesel,145,42.8,3
 C Class,2014,15298,Automatic,41416,Diesel,30,64.2,2.1
 GLC Class,2016,22998,Automatic,30162,Diesel,125,56.5,2.1
 GLC Class,2018,31998,Automatic,11605,Diesel,145,56.5,2.1
 E Class,2019,36998,Automatic,629,Petrol,145,32.9,2
 GLA Class,2016,15998,Automatic,52029,Diesel,125,56.5,2.1
 GLA Class,2015,18498,Automatic,22888,Diesel,125,55.4,2.1
 GLC Class,2016,24998,Automatic,30639,Diesel,125,56.5,2.1
 GLC Class,2018,33998,Automatic,7220,Diesel,145,56.5,2.1
 C Class,2019,33998,Automatic,3814,Petrol,145,44.1,1.5
 C Class,2019,32998,Automatic,17,Petrol,145,46.3,1.5
 CLS Class,2016,21998,Automatic,29306,Diesel,160,51.4,3
 GLE Class,2016,28698,Automatic,22707,Diesel,200,47.9,2.1
 C Class,2018,19998,Automatic,15383,Petrol,145,46.3,1.5
 CLS Class,2019,44498,Automatic,5428,Diesel,145,47.9,2.9
 C Class,2015,13998,Manual,24010,Diesel,20,72.4,1.6
 GLE Class,2017,30498,Automatic,19605,Diesel,260,42.8,3
 C Class,2019,24498,Automatic,15838,Diesel,145,61.4,2
 SL CLASS,2016,18498,Automatic,33502,Diesel,30,70.6,2.1
 A Class,2018,18998,Automatic,12386,Diesel,145,68.9,1.5
 C Class,2016,16498,Automatic,37080,Diesel,20,64.2,2.1
 GLC Class,2016,23998,Automatic,42809,Diesel,125,56.5,2.1
 CL Class,2015,19498,Automatic,20820,Diesel,20,67.3,2.1
 C Class,2016,15498,Automatic,73582,Diesel,30,61.4,2.1
 E Class,2017,19498,Automatic,47007,Diesel,30,65.7,2
 CLS Class,2019,39998,Automatic,926,Diesel,145,45.6,2
 E Class,2019,38998,Automatic,378,Diesel,145,57.7,2
 SL CLASS,2019,32998,Automatic,17,Petrol,145,47.1,2
 GLC Class,2019,34998,Automatic,423,Diesel,145,56.5,2.1
 A Class,2019,20998,Automatic,9651,Diesel,145,56.5,2
 S Class,2015,27498,Automatic,35236,Diesel,200,47.9,3
 SL CLASS,2017,20298,Automatic,20055,Diesel,30,70.6,2.1
 A Class,2018,21998,Automatic,15450,Petrol,150,53.3,1.3
 A Class,2019,21998,Automatic,19324,Petrol,150,53.3,1.3
 A Class,2016,21998,Automatic,17171,Petrol,165,45.6,2
 E Class,2016,19498,Automatic,33249,Diesel,145,54.3,3
 E Class,2016,18998,Automatic,23951,Diesel,125,58.9,2.1
 E Class,2017,21998,Automatic,16062,Diesel,145,52.3,3
 A Class,2017,15245,Manual,22969,Diesel,145,68.9,1.5
 C Class,2014,10995,Manual,98000,Diesel,20,68.9,2.1
 A Class,2013,9995,Manual,83000,Diesel,20,70.6,1.5
 E Class,2017,23995,Automatic,16820,Diesel,145,51.4,3
 SL CLASS,2016,28650,Automatic,9262,Petrol,260,36.7,3
 M Class,2015,21998,Automatic,37963,Diesel,205,39.2,2.1
 C Class,2014,15698,Automatic,39920,Diesel,30,64.2,2.1
 V Class,2018,20498,Manual,25254,Diesel,145,46.3,2.1
 E Class,2019,39998,Automatic,2675,Hybrid,135,134.5,2
 GLA Class,2015,18498,Automatic,18106,Diesel,125,56.6,2.1
 C Class,2016,18498,Automatic,31891,Hybrid,0,134.5,2
 GLC Class,2015,24498,Automatic,23487,Diesel,125,56.5,2.1
 V Class,2018,20498,Manual,20841,Diesel,145,46.3,2.1
 V Class,2018,20498,Manual,22033,Diesel,145,46.3,2.1
 C Class,2019,31998,Automatic,2000,Petrol,145,42.2,2
 C Class,2019,29998,Automatic,28000,Petrol,145,44.1,2
 C Class,2019,24998,Automatic,22400,Petrol,145,44.1,1.5
 S Class,2015,26498,Automatic,34434,Diesel,200,48.7,3
 C Class,2019,32998,Automatic,2878,Petrol,145,42.2,2
 C Class,2019,32998,Automatic,4500,Petrol,145,42.2,2
 C Class,2019,29998,Automatic,836,Petrol,145,43.5,2
 GLE Class,2016,30998,Automatic,14149,Diesel,235,42.8,3
 SL CLASS,2016,19998,Automatic,27801,Petrol,145,47.9,2
 C Class,2017,23998,Automatic,14462,Diesel,20,67.3,2.1
 E Class,2019,48998,Automatic,2669,Diesel,145,47.1,3
 C Class,2019,32498,Automatic,1887,Petrol,145,46.3,1.5
 E Class,2017,19998,Automatic,52570,Diesel,30,65.7,2
 GLE Class,2016,27998,Automatic,24732,Diesel,200,47.9,2.1
 SL CLASS,2016,18998,Automatic,29302,Diesel,30,70.6,2.1
 GLE Class,2017,28498,Automatic,30825,Diesel,145,47.9,2.1
 E Class,2015,17998,Automatic,42577,Diesel,145,54.3,3
 E Class,2015,18498,Automatic,40348,Diesel,145,54.3,3
 C Class,2014,15498,Automatic,23772,Diesel,20,64.2,2.1
 C Class,2017,18998,Automatic,28808,Diesel,145,61.4,2.1
 E Class,2016,19998,Automatic,29511,Diesel,30,65.7,2
 GLA Class,2014,15698,Automatic,43696,Diesel,145,55.4,2.1
 GLC Class,2016,25998,Automatic,40220,Diesel,145,56.5,2.1
 A Class,2016,15200,Automatic,39057,Diesel,20,74.3,1.5
 M Class,2013,15200,Automatic,61363,Diesel,200,44.8,2.1
 A Class,2016,15200,Automatic,23286,Diesel,20,68.9,2.1
 M Class,2014,15998,Automatic,71657,Diesel,200,44.8,2.1
 C Class,2019,22498,Automatic,10455,Petrol,145,46.3,1.5
 GLA Class,2016,17998,Automatic,39017,Diesel,125,56.5,2.1
 CL Class,2013,11998,Manual,33562,Petrol,125,50.4,1.6
 A Class,2019,21498,Automatic,4138,Diesel,145,65.7,1.5
 C Class,2016,19298,Automatic,27644,Diesel,30,64.2,2.1
 GLE Class,2016,28998,Automatic,34669,Diesel,200,47.9,2.1
 B Class,2017,12498,Manual,29559,Diesel,20,68.9,1.5
 V Class,2018,32998,Automatic,18932,Diesel,145,45.6,2.2
 C Class,2018,29498,Automatic,6265,Diesel,145,54.3,2
 C Class,2016,16998,Automatic,21786,Diesel,20,65.7,2.1
 S Class,2015,28998,Automatic,16382,Diesel,200,47.9,3
 E Class,2016,20298,Automatic,23411,Diesel,160,52.3,3
 SLK Class,2013,10698,Automatic,66282,Diesel,145,56.5,2
 S Class,2015,24998,Automatic,29036,Diesel,160,50.4,3
 A Class,2016,15498,Automatic,63454,Diesel,20,74.3,1.5
 GLE Class,2015,25498,Automatic,29078,Diesel,200,47.9,2.1
 E Class,2016,18698,Automatic,31131,Diesel,145,54.3,3
 V Class,2017,30998,Automatic,32577,Diesel,145,45.6,2.2
 A Class,2016,12498,Manual,54544,Diesel,20,72.4,1.5
 S Class,2019,46998,Automatic,1042,Diesel,145,52.3,3
 C Class,2019,33998,Automatic,1558,Petrol,145,44.1,1.5
 C Class,2019,32998,Automatic,2258,Petrol,145,46.3,1.5
 C Class,2019,30498,Automatic,4977,Diesel,145,57.7,2
 CLS Class,2015,19298,Automatic,35866,Diesel,160,49.6,3
 A Class,2018,17498,Automatic,15316,Petrol,145,49.6,1.6
 GLA Class,2016,21498,Automatic,21253,Petrol,200,43.5,2
 E Class,2016,19498,Automatic,23791,Diesel,125,56.5,2.1
 C Class,2017,18998,Automatic,26866,Diesel,30,64.2,2.1
 A Class,2017,18498,Automatic,15478,Petrol,145,53.3,1.6
 E Class,2019,40998,Automatic,1255,Diesel,145,49.6,2
 S Class,2019,49998,Automatic,83,Diesel,145,52.3,3
 S Class,2016,31998,Automatic,14633,Diesel,200,47.9,3
 A Class,2019,23498,Automatic,5800,Diesel,150,65.7,1.5
 C Class,2017,18498,Automatic,20618,Diesel,30,64.2,2.1
 S Class,2015,27998,Automatic,17168,Diesel,200,48.7,3
 C Class,2019,24998,Automatic,15536,Petrol,145,47.1,1.5
 C Class,2019,24998,Automatic,16103,Petrol,145,47.1,1.5
 C Class,2019,21998,Automatic,14576,Petrol,145,46.3,1.5
 C Class,2018,29498,Automatic,6198,Diesel,145,54.3,2
 E Class,2019,24498,Automatic,15316,Diesel,145,72.4,2
 S Class,2015,28498,Automatic,15293,Diesel,200,48.7,3
 E Class,2016,20998,Automatic,16843,Diesel,145,54.3,3
 E Class,2016,19998,Automatic,18718,Diesel,145,54.3,3
 E Class,2016,20298,Automatic,26707,Diesel,145,54.3,3
 E Class,2016,19498,Automatic,36107,Diesel,160,51.4,3
 C Class,2016,19498,Automatic,24756,Diesel,30,64.2,2.1
 E Class,2017,20998,Automatic,29816,Diesel,145,61.4,2
 E Class,2016,21498,Automatic,29833,Diesel,160,51.4,3
 E Class,2016,19698,Automatic,42334,Diesel,30,65.7,2
 GL Class,2015,31998,Automatic,36281,Diesel,330,36.2,3
 E Class,2015,19498,Automatic,22877,Diesel,150,54.3,3
 GLE Class,2016,30998,Automatic,19574,Diesel,240,42.8,3
 CL Class,2014,15998,Automatic,42514,Diesel,30,62.8,2.1
